tweet_text	cord_uid
"""a study best-case scenario cost-benefit analysis revealed very conservatively that there are five times the number of fatalities attributable to each vaccination vs those attributable to covid-19 in the most susceptible 65+ demographic."""	4vkkaqhz
A report on myocarditis adverse reactions in the U.S. vaccine adverse events reporting system (vaers) in association with COVID-19 injectable biological products Jessica Rose, Peter A. McCullough injection.	dksw5yzp
"the brains of #covid-19 patients have impaired blood vessels (more so-called string vessels representing remnants of lost capillaries); sars-cov-2 infects brain endothelial cells and leads to microvascular pathology via ripk signaling"	dsz66r4u
"""10 studies that reported estimates of the effectiveness of face masks in reducing laboratory-confirmed influenza... during 1946–July 27, 2018. In pooled analysis, we found no substantial reduction in influenza transmission with the use of face masks"""	ef3warsh
why #nicotine levels should not be limited to 20mg/ml:  juul in us (59mg/ml) 79% more effective than juul in uk (20mg/ml)   10,000 smokers buying juul, with no assistance  smokers need sufficient nicotine to switch and higher nicotine levels are more potent	puttcvi7
"lemme just go ahead &amp; share this article about singing spreading virus:   ""...these droplets can potentially saturate the indoor environment, which can likely explain the very high attack rates of virus-19 seen in choirs in the united states &amp; europe"""	86gqxajw
this #machinelearning algorithm forecasts the emergence of #viral symptoms in healthcare workers using #wearable technology. | plos one	fhxgzm2i
Old information by now, but yet another study has confirmed that the majority of patients hospitalized with covid, influenza, or other critical illness do not have adequate vitamin D levels.	mf73oqp6
wow: new study debunks the myth that lockdowns work.  “in ~ 98% of the comparisons using 87 different regions of the world we found no evidence that the number of deaths/million is reduced by staying indoors.”	0474ggrt
"preprint: the relationship between sars-cov-2 viral load &amp; transmission has been hard to calculate.  here, routine testing on a univ campus allows us to look at roommate pairs: viral loads were 6.5x higher when the index roommate spread. 1/"	xd5uhah4
why do some younger people contract severe covid-19?  researchers have identified a major common genetic risk locus on chromosome 3 (tagged by the snp rs10490770) for severe covid-19. however, the clinical implications of this genetic risk factor are not known. (1/n)	zkb1zbvq
"you're referencing a 12yr old study on colds, which was inconclusive. the cold is not covid. but i found this publication on that same site!  ""face masks use have shown a great potential for preventing respiratory virus transmission including the coronavirus."""	xtmn1n0r
"Hyperbaric oxygen treatment (hbot) has long been used to treat inflammation &amp; fatigue. this article discusses the inflammation side.  hbot delivers 100% oxygen to the body &amp; it’s even more effective because of the pressurized chamber. hbot is particularly..."	fzbs46fk
Obesity may hinder SARS-CoV-2 vaccine immunogenicity | medrxiv	f4x16qyh
"Estimate of sars-cov-2 infections in zambia appears to be &gt;90 times higher than their confirmed case number."	ds7qon66
#Ketogenic diet vs low calorie diet in individuals with #type2diabetes. after 1 year, the #ketogenic group lost weight and enhanced diabetes management. the low calorie group did neither. the ketogenic group also had enhanced quality of life and eating habits scores.	yx9ygiss
Remote education during COVID-19: investigating school methods, service maintenance, and challenges for teenagers with and without attention-deficit/hyperactivity disorder - PubMed	el97nts9
tweets of #sarscov2 + rbp kos + #mitochondria ko screen in 7 viruses   many rbps and mito factors work as host-protective during rna virus infections!   w/    carette  horvath	dntzzcue
"I wished they would report how many people they encountered with blood clots in the same age groups among the unvaccinated population, how many people they vaccinated without any side effects &amp; mention that 2% of all COVID patients develop blood clots."	a4babgpl
#donanemab for #alzheimer, misleadingly spun as positive: “donanemab resulted in a better [...] capacity to perform activities of daily living than placebo at 76 weeks”. the data suggest otherwise. (1/8)  #elililly  #adpd2021	tz48uje3
New study out of Germany on face masks – lowered incidence 15% and 75% over a 20-day span after compulsory implementation – lowered daily increase rate of recorded infections by ~ 47%  crucial (often overlooked aspect): extremely low-cost intervention.	rpwmcqbg
Covid vaccine shares comparable components to human proteins. Upon receiving the vaccine, covid exposure may trigger a massive cytokine reaction. Pathogenic priming is likely to contribute to severe and critical illness and mortality in covid-19 via autoimmune response - sciencedirect	hwpn7ti1
Vaccines that don’t align. they are called non human epitopes. that means they don’t align with our genome. this will minimize the chances of autoimmunity. this is well designed.	lvsn38q9
Impact of COVID-19 lockdown on daily routines and weight status among youths in China: The COVID-19 influence on lifestyle change survey (COINLICS)	cpuyh6q8
Face coverings significantly lower #covid-19 cases: they are also surprisingly affordable as a public health measure. possibly the most affordable public health measure: apart from washing your hands.	rpwmcqbg
xu, x. s., bulger, e. a.,..., akbari, o. s., marshall, j. m. and bier, e. (2020). active genetic neutralizing elements for halting or eradicating gene drives. mol cell.	9n42e9k3
Face masks significantly lower COVID-19 cases in Germany.	rpwmcqbg
"bears repeating: ""no medication definitely reduced mortality, or reduced initiation of ventilation or hospitalization duration. these #remdesivir #hydroxychloroquine #lopinavir &amp; #interferon regimens had little or no effect on hospitalized patients w/#covid19 """	jtgpzrf9
genuinely inquisitive. why do you think there was almost no flu season in 2020?  compare case rates in 2017, 2018, 2019 and 2020. how do you explain the significantly lower infection rates?	xp2qkk52
The youth aren't okay. 50% of the college-aged youth (and all but one of the women) in this study suffered from Covid symptoms > 28 days and were diagnosed with #longtermcovid #longcovid	1ik8lrid
"""a common misconception is that it is a'mild flu.'  the virus has evolved into two strains that we know of currently.  one mild type and one severe type.  the majority of severe cases are in china, with the mild cases being reported elsewhere.  source: """	j99cgsjt
where did it originate?  based on the genetic sequencing, it either came from bats or pangolins originally.  the most probable source is a bat, but it could have been a bat to another animal similar to how sars spread before.  source:	o877uul1
Chinese researchers suggest two primary types of SARS-CoV-2 virus strains (L & S) based on population genetic studies of 103 genomes. L type is more prevalent (70%) than S (30%), is more aggressive and has a higher transmission rate.  Read more on the PDF file.	j99cgsjt
an important new preprint discovers that kids are just as likely as grown-ups to be infected. this is a key piece of data that may support school closures as an effective intervention.	hnx213kp
"Social distancing and avoiding crowding reduced the ""peak incidence of an epidemic and prolonged it over many, rather than a few, weeks"" for the 1957 and 1968 influenza pandemics."	bb6lv6yg
new preprint: how will the sars-cov-2 outbreak unfold in the coming months and years? will public health measures eventually eliminate it, like sars? or will it continue circulating, like pandemic flu? how will this depend on immunity and seasonal pressure?	f4hj35dr
should i wear a face covering?  while the cdc guidelines say healthy people should not wear a face covering, there is contradicting studies showing that face coverings do help prevent it to a certain degree  this study also showed no statistical difference for n95 or surgical  link:	cnmawglq
Based on exported cases to other countries, Italy may have had approximately 4000 #covid19 cases by the end of February, rather than the 1100 that were reported, suggesting about 70% of cases went unrecorded. More great analysis by  and co	wtdzad90
New research finds #covidー19 undergoes confirmation change upon heparin binding. Sera 100 uses this mechanism to capture #viruses circulating in the #circulatorysystem.	0d77ojnb
so you believe RIVM when they say that you can't have #covid19 unless you have a 39c fever? do you also believe that you can't have it unless you travel to china or italy? the science contradicts them, which is why i also disagree when they mislead. table 1:	umttnp1g
The potential false-positive rate among the 'asymptomatic infected individuals' in close contacts of COVID-19 patients→ nearly half or even more of 'asymptomatic infected individuals' reported in the active nucleic acid test screening might be incorrect positives.	5t4twnpm
2) highlights  📌the neurological effects of covid-19 are the most debilitating and are the most substantial long-term consequences of sars-cov-2 infection which has major socio-economic repercussions.	0ml57rhr
"""almost one third of hospitalized patients with covid-19 develop encephalopathic symptoms...most concerning however are the long-term consequences of the viral infection."""	0ml57rhr
"Lancet systematic review &amp; meta-analysis: SARS-CoV-2 viral load, viral shedding, infectiousness  “Although modelling studies estimated potential viral load peak before symptom onset—we did not identify any study that confirms pre-symptomatic viral load peak”"	4qgfjczw
Acute social disconnection evokes midbrain craving responses similar to hunger.	4dpe5q54
"the ""just-in-time"" approach &amp; the lack of a proactive &amp; preventative stance to risk management reduced resilience of egyptian #agrifood smes to various risks presented by the pandemic. more details in our new agribusiness article:"	tq1hb45f
high elevated mortality in areas with young and socially vulnerable populations during the covid-19 outbreak in stockholm region, sweden | bmj global health 👏👏⁦⁩ ⁦⁩	zv351n3d
"""these findings suggest that 87% of covid-19 deaths may be statistically linked to vitamin d inadequacy and could potentially be prevented by addressing vitamin d inadequacy"" the vit d discussion continues... challenging to envision a drawback to correcting deficiency."	k30wvnx8
4/long covid: ~10-35% suffer persistent symptoms, mostly neurological: autonomic nervous system impairment, sleep disruptions, pain conditions, lightheadedness, cognitive challenges. in one series of hospitalization, 1/3 suffered memory loss post-discharge	0ml57rhr
update: plasma shows no advantage in 228 covid patients. randomized. placebo controlled trial  despite early promise, we don’t use it anymore. good doctors don’t argue by saying “but in my experience”  that’s how science works. important article below	lty6oq3d
"""There are also multiple plausible mechanisms that may well explain the observed associations, such as heightened concentrations of pro-inflammatory cytokines, as well as lowered concentrations of anti-inflammatory cytokines in vitamin D insufficiency."""	k30wvnx8
yes, antibody dependent amplification. any #coronavirus #vaccine can cause some recipients to develop much more severe form of the disease on exposure to the virus than they'd have developed if they hadn't been vaccinated. media aren't discussing this.	gw9hkw00
"""Among 139 clients exposed to two symptomatic hair stylists with confirmed COVID-19, while both the stylists & the clients wore face masks, no additional symptomatic cases were reported; among 67 clients tested for SARS-CoV-2, all test results were negative"""	r58aohnu
Fixed orthodontic therapies contribute to oral dysbiosis, but supplementation with #probiotic Lactobacillus reuteri prodentis can improve oral health markers and ↓ pathogenic species. #medtwitter #dentist #orthodontics #probiotics #microbiome	men1xxnc
new peer-reviewed journal of hepatology  “covid vaccine can elicit distinct T-cell-dominant immune-mediated hepatitis with a unique pathomechanism associated with vaccination-induced antigen-specific tissue-resident immunity requiring systemic immunosuppression”	lnls2mhg
The effect of early treatment with ivermectin among patients with COVID-19 treatment with IVM did not result in a lower incidence of medical admission to hospital due to progression of COVID-19 or of prolonged ED observation among outpatients with an early diagnosis of COVID-19	mo23hpe1
I recall early on reading that researchers who had examined other coronaviruses discovered that individuals could contract the same virus multiple times within the same year.  I even located a source for it!	sts48u9i
"""This research highlights the necessity for a comprehensive examination of the apparent link between covid-19 vaccine administration and adverse cardiovascular outcomes among young adults."""	mxg2q1vd
🚨 67% of #longcovid patients may have moderate to severe nervous system dysfunction, according to a new study from Stanford university.	g4ve91g5
"""latest in  with  and    “ impact of population mixing between vaccinated and unvaccinated subpopulations on infectious disease dynamics: implications for sars-cov-2 transmission”"	55gugbs8
level of dengue preventive measures and related factors in a Malaysian residential area during the COVID-19 outbreak: a cross-sectional study	k06pck9c
"💥💥💥 explosion 💥💥💥 new - study reveals ""substantially"" higher emergency cardiovascular events among under-40 population in israel during vaccine rollout and third covid-19 wave."	mxg2q1vd
Evolutionary adaptation will lead to new sars-cov-2 variants with unpredictable severity | nature reviews microbiology	mu2vqjnv
"hmmm. got hepatitis? covid jab can cause a ""vaccine-induced hepatitis. ""covid19 vaccination can elicit a distinct t cell-dominant immune-mediated hepatitis with a distinct pathomechanism associated with vaccination requiring systemic immunosuppression."""	lnls2mhg
thank goodness individuals took up this challenge to produce data  it has been demonstrated that early intubation is unlikely to make any difference at all to covid-19 outcomes, but harms patients by leading to additional intubations  you'll notice no randomised controlled trials  9/	rmyy6fni
we recently described disparities in vaccination by neighborhood in 16 large us cities. we find that areas of higher social susceptibility tended to have lower vaccination rates, but that this was highly heterogeneous. out in the , open access here:	6oi8s315
"Once the immune system weakens it leads to multiple problems, as we know from hiv/aids. ""We present evidence that mrna vaccines induces a profound impairment in type i interferon signalling, which has diverse adverse consequences to human health."""	52lf5gzr
Receipt of influenza vaccination was associated with a 34% lower risk of major adverse cardiovascular events, and individuals with recent acute heart attack had a 45% lower risk. #vaccination #cardiology	jqwoxfsc
Prevalence of infection-induced SARS-CoV-2 antibodies — United States, September 2021–February 2022 | MMWR - Centers for Disease Control and Prevention (.gov)	9pn62o4p
Severe psychosis caused by anti-N-methyl-D-aspartate receptor encephalitis after COVID-19 vaccination: a case report of a woman in her 20's who received the Pfizer BNT162b2 vaccine.	4ercv3oy
when covid struck, the world went into lockdown. but did slamming doors shut just alter the essence of deviant behaviours? our team investigate the police's experience of tracking individuals during the pandemic, drawing on the experience of law enforcement. check it out:	1l3b0hqj
SARS-CoV-2 infection has knock-on, lasting severe effects on the T cells. Don't show me in vitro analyses of the healthy young recovered and claim they don't exist, geniuses.	122yi9np
the cuida chagas initiative. towards the eradication of congenital transmission of chagas disease in bolivia, brazil, colombia and paraguay.	rntwm510
"""At least 50 percent of people who survive COVID-19 experience a range of physical and mental health issues for six months or more after their initial recovery"""	sz072p5o
1/ Covid: new study reveals almost twice the likelihood of acute kidney damage in children compared to adults who contract SARS 2. nearly 1 in 39 children who suffer kidney damage pass away as a result. many are left requiring new kidneys.	n006o856
"perfect example of how suppression can obscure accurate information, lead to distrust &amp; stop advances in our understanding. this peer reviewed study *did* find a significant association between vaccine &amp; cardiac arrest calls in 16-39 yos, so why conceal this👇"	mxg2q1vd
You know you're credible when NIH website has your paper 💃💃 someone is paying attention to data. Missing microbes of COVID-19: Bifidobacterium, Faecalibacterium depletion and decreased microbiome diversity associated with SARS-CoV-2 infection severity - PubMed	3sr2exq9
Could altering our microbiome or its byproducts be therapeutic, including against #longcovid? A top-notch, in-depth review of this potential target.	6qkjwsst
the most notable forecast from a depleted ozone layer was increased risk of skin cancer. have we seen skin cancer rates drop since the 90s as directly correlated with the chart?	9tkslcxq
Resistance to antifungal medications is a growing issue globally in both scope and duration, encompassing novel resistant strains of previously susceptible pathogens as well as entirely new emerging species that are resistant to multiple antifungal treatments #amr	ybwwmyqy
"""Excellent research on why phylomorphospaces frequently appear knotted. reminds me of why cables get knotted in our bags/pockets—there is only one possibility to not be knotted vs. vast number of ways to be knotted."""	gqifyp7g
This is on Dr. Fauci's own NIH website:  breakthrough: chloroquine phosphate has shown apparent effectiveness in treatment of COVID-19 associated pneumonia in clinical studies.	s2j4qf0j
"""none of the 15 patients who received a combination of hydroxychloroquine and azithromycin was admitted to intensive care and none passed away."" study: clinical efficacy of hydroxychloroquine in patients with covid-19 pneumonia."	iimx8nt8
"Study from Bergamo, Italy, showing a 30-fold increased incidence of #Kawasaki-like disease (#PIMS) in youngsters. Cardiac involvement more common; 80% were #SARS-CoV-2 antibody positive. Outbreaks anticipated elsewhere in #COVID-19 hotspots. #Kids #Youth"	4mp1iu55
remarkable case of antiphospholipid antibodies in patients with covid-19. one of three patients with these findings.	fw211spn
"A recent study by  in  ""tweets referencing “chinese virus” or “china virus,” along with the content of these tweets, suggest that knowledge dissemination may be happening online and COVID-19 stigma is probably being perpetuated on Twitter."""	kk47kxwf
A new retrospective of severe COVID patients needing oxygen (n=181) reveals no advantage of HCQ without zinc. Nonetheless, a subset of patients receiving HCQ+AZ (n=16) achieved 100% survival and zero ICU admissions.	iimx8nt8
"""Evidence for vitamins C, E, and zinc and their roles in preventing pneumonia and respiratory infections (vitamins C and D) and reinforcing immunity (zinc) appears to look particularly promising."""	479wkesk
🚨randomized, controlled clinical trial of #hydroxychloroquine shows *no benefit and more side effects* in patients hospitalized with mild to moderate #covid19. yet the  blasted Dr. Anthony Fauci for not supporting his favorite drug.🙄	3jnhboif
#biology pangolins are not the transitional animal for sars-cov-2, molecular and evolutionary analyses showed that this pangolin coronavirus we assembled was genetically associated with the sars-cov-2 but was not likely its ancestor.	69fmtury
Sars-cov-2 emerged in Wuhan in December 2019 and caused the pandemic respiratory disease, COVID-19. In 2003, the closely related SARS-CoV had been detected in domestic cats and a hound.	go0tueah
"""..speech produces airborne droplets.. suspended for tens of minutes or longer &amp; capable of transmitting disease in confined spaces."" without #masks4all no workable physical distancing allows safe #returntowork."	svi7syld
our latest preprint is now out! we were astonished that antibodies specific for common cold coronaviruses were capable of attaching and neutralising (at least in vitro) conserved epitopes from sars-cov-2:	n0actmsc
GMO vaccine from Oxford succeeds in monkeys against #covid19! When exposed to coronavirus, the unvaccinated monkeys developed lung infection, a sign of covid-19. Vaccinated monkeys developed the protective antibodies, had no lung infection and no virus in their lungs.	uexahhdr
"""There is a considerable likelihood that everyday talking leads to airborne virus spread in enclosed spaces."""	svi7syld
"A reassuring study shows that despite people who have recovered from covid having low levels of antibodies, they tend to have enough of exactly the kinds of antibodies that all current vaccines are designed to generate. autumn is coming &amp; brings vaccines!"	nhkd88yv
Treatment with hydroxychloroquine or azithromycin and hospital mortality in patients with COVID-19	iz74o9de
A recent #covid19 study on #immunity helps explain why these 2pts with x-linked agammaglobulinemia (genetic immunodeficiency where pts have complete absence of b-cells: inability to produce antibodies) developed covid19 pneumonia—but recovered.	x21g6i3g
Outstanding diversity and natural selection pressure on sars-cov and sars-cov-2 host receptor in bats compared to other mammals.	ijsn8d7b
IL-6 seems to be a primary catalyst of this uncontrolled inflammation in #covid19, and #tocilizumab, a mab IL-6 receptor blocker, has been used in small series of severe covid-19 cases with early reports of success	8cvjsisw
"the robust immune system against severe covid-19: a hypothesis ""cellular adenosine triphosphate (c-atp)"""	e9vvjv8w
Further evidence for preexisting cross-immunity to #sarscov2 due to exposure to 'common cold' coronaviruses. this is excellent news, as a smaller proportion of the population may need to get infected for #covid19 to become endemic. (1/2)	n0actmsc
in this cohort study, temporal neutralizing antibody responses against omicron ba.1 following two and three doses of bnt162b2 correlated to vaccine efficacy against omicron symptomatic disease.	qqdcs77q
as if we didn’t know: “conclusions  naturally acquired immunity confers greater protection against infection and symptomatic disease caused by the delta variant of sars-cov-2, compared to the bnt162b2 two-dose vaccine-induced immunity.”	7a543f7v
We have a collection of frightening literature on the things COVID-19 does to your body, but almost none of it investigates the impacts of vaccinations on those consequences. Well, now we have this:	u66awao9
Electrophysiological and laboratory findings in a case of Guillain-Barré syndrome after second dose of #Pfizer.	wdj7o7kn
Human NLRP1 is a sensor of pathogenic coronavirus 3CL proteases in lung epithelial cells: Molecular Biology	5frs2nhl
"A variant can develop mutations across multiple parts of its surface. delta &amp; omicron were neutralized by covaxin per paper below. as we continue to manage sars-cov-2, given the inability to eradicate the virus, we will need whole virus vaccines"	2bzq2ayq
A recent CDC study estimated that as of February 2022, ~60% of Americans had antibodies from natural infection. Over a two-month period earlier this year, nearly one-quarter of people in the US (80m) were infected—more than 1 million infections every day! 4/	9pn62o4p
"""non-neutralizing abs may have lower sensitivity in mrna-1273-vaccinated persons who become infected."""	k2jzadwq
People really need to ask what effect the first widely circulating, airborne superantigen will have on human health long term. There has been no virus like this in recorded history.	aifv23fw
"""Our research indicates that sars-cov-2 leaves a lasting hypersensitivity-linked genomic signature in dorsal root ganglia, despite early viral elimination that seems to be connected with neurodegenerative mechanisms."" #longcovid"	dnrzk9tk
"🚨 a study examined the mechanism behind pain in #longcovid. it discovered that the virus ""leaves a lasting hypersensitivity-linked genetic footprint in dorsal root ganglia that seems to be connected with neurodegenerative processes."""	dnrzk9tk
"keep knocking them out of the field, aj. ""we further report a distorted t cell receptor repertoire in covid-19 patients with severe hyperinflammation, in support of such a superantigenic effect."""	ov5wzfra
"also noteworthy that the prevalence is similar to what's been seen previously in pims-ts. let's remember that many young children don't even convert (&amp; many revert soon) after infection, so 76% positivity is quite high for this age group."	bnr1r48j
macro-level, multi-national analysis shows that public mask compliance is negligible for stopping the spread of covid-19  — it appears to be socially damaging.	tra5ewc5
long-term covid after 2 years: regardless of initial severity, enhancements in health, however, burden of symptoms remained fairly high. health outcomes in people 2 years after surviving hospitalisation with covid-19: a longitudinal cohort study 1/	jwei2g97
Results of remdesivir, no impact. I’m disappointed for patients. impact of remdesivir vs standard care on clinical status at 11 days in patients with moderate covid-19: a randomized clinical trial | infectious diseases | jama | jama network	hn6clwoj
Intriguing herd immunity study from Bangladesh reveals that the primary transmission driver is the young adult. Consequently, targeting and vaccinating this age group more efficiently could reduce the population's overall immunity threshold from 60 to 31%.	gjo29e21
report: far-uvc light inactivates sars-cov-2 instantly. low dose far-uvc, considered safe for humans, could disinfect indoors, even with people present in the room (as opposed to typical uv which harms eyes/skin so can only be used when people aren't around 1/2	ewg9d4ei
online now! using live cell imaging, zhengping in the lab found that parp1 exchanges rapidly at dna damage sites even with clinical parp inhibitors. persistent parp1 foci are made of continuous recruitment of parp1 in the absence of proper repair.	jc26e39s
Questions about cardiac involvement (impact) in COVID. Linked study found 78 of 100 unselected individuals to have damage. If only 50% have damage in the population, the chances that this would be found are less than 1 in 10^8. Not a small effect.	4cqf9v2v
really unusual virus.  symptom severity is 3 non-continuous categories.  zero, mild, and severely affected.  frequencies consistent with a rare susceptibility gene.  homozygous minor allele is risk genotype.  my bet is on something in the interferon lambda 4 gene.	cu56p0hw
"Questions surrounding the immediate source of sars‐cov‐2 #coronavirus  fully explore &amp; research the origin is the key to determine real solutions to end the pandemic. #ccpvirus #bioweapon     🔗"	jer4jwwf
A gut microbiota-modulated neural pathway connecting the lower intestines to the liver and pancreas independently controls blood glucose, researchers publish in science, which could have implications for some metabolic disorder treatments.	3xpfjy1z
thus 75% of infected individuals fail to follow self-isolation. no surprise cases are increasing.	hgpiig0g
A clinical study in Singapore revealed that COVID-19 patients who received vitamin B12 (500 μg), vitamin D (1000 IU) & magnesium experienced decreased COVID-19 symptom severity & supplements notably reduced the need for oxygen and intensive care assistance.	pavd7sj3
Vitamin D3 derivative calcifediol slashes icu admissions for hospitalized covid-19 patients by a factor of 25. huge if true!  it looks like  was right about vitamin D.	nnkul2r2
Long, slender transmission chains of severe acute respiratory syndrome coronavirus (sars-cov-2) may go undetected for several weeks at low to moderate reproductive numbers: implications for containment and elimination strategy  [🚨preprint]	yoiq6cgt
"assistant professor of medicine, stanford university professor of medicine and health, ucla ""chance of a hospitalization is 1 in 709,000"" ""chance of a fatality is 1 in 6,670,000"" ""estimates... may not match public risk perceptions."""	7j7u4sv3
Activation of the SARS-CoV-2 receptor ACE2 through JAK/STAT-dependent enhancers during gestation.	6cttilm8
a few days ago, another paper showed that people who likely had higher vitamin D (as measured the year before) were also 45% less likely to test positive for COVID.	ivug325f
vital signs: characteristics of drug overdose deaths involving opioids and stimulants -24 states and the district of columbia, january–june 2019 | mmwr. no matter how proven wrong the cdc are penalizing cpp, they keep pushing the “but the over-prescribing!”	c2pxokv4
Significant vitamin D deficiency in people with COVID-19 was associated with a substantially higher mortality risk than COVID-19 patients with typical vitamin D levels (retrospective study in Bari, Italy).	be8eu3qi
"covid as an infectious disease of the “endothelium”, the lining of blood vessels, transmitted pre-symptomatically.  explains the sepsis syndrome; explains the clotting/bleeding; explains the kidney failure.  what a vicious, vicious disease."	dmlyd50n
"""A strong connection is found between low serum zinc and serious cases of covid-19."""	c0ipfbeg
"""The overall CFR for COVID-2 is predicted to drop sharply, eventually falling below that of seasonal influenza (approximately 0.001)"""	e49rdu76
"Risk indicators linked to mortality in severely ill patients w/ #covid19 from  earlier this year  ""admission to a healthcare facility with limited ICU capacity""  alarming but this is where we are headed. need to halt transmission urgently."	f0t5l7kb
A study of the regn-cov2 #antibody cocktail in rhesus macaques and golden hamsters provides evidence it may offer clinical benefit in both prevention and treatment settings of #covid19 disease. Read the research in Science:	mtsdsrs3
"11-19-2020:  in a meta-analysis released from Indonesia, sexual issues, gum disease, sleep apnea, diabetes, osteoporosis, yellowish eye whites, kidney blood clots in urine, &amp; dementia all indicate cardiovascular disease &amp; predict poor Covid-19 outcomes"	niqka1hh
Low vitamin D levels may correlate with worse outcomes in many diseases.  But supplementing does not necessarily enhance outcomes. In fact, it almost never does.  (Still waiting for a truly compelling study in any infection.)  Lather, rinse, repeat.	cc23zega
The wearing of masks is associated with reduced transmission rates. you're welcome.	9b6cepf4
7, the researchers discovered that heightened levels of psychological distress were found up to three months following probable #covid19 infection compared to those with no likely infection. The connection was stronger among younger age groups and males.	9nostuqg
International travel restrictions primarily impact countries with low COVID incidence and numerous arrivals, or those near the brink of an epidemic. Our new Lancet paper with Joe Wu and others at.	b4yj7vw0
Prevalence of sars-cov-2 antibodies in seattle, washington: october 2019-april 2020: estimating prevalence of sars-cov-2 antibodies is crucial to determine disease burden. we tested residual samples from 763 seattle-area adults for sars-cov-2…	oap7i5ea
a #vaccine is like a fire extinguisher. a vaccine that’s ~95% effective is a powerful fire extinguisher. but the size of a fire is still a bigger determinant of how much destruction occurs. #doyourpart 😷↔️🧼🤚🏡 ⁦⁩	xigbp7vh
"out now, results from the oxford/azn trials, including more detail on the low dose results. notably, the low dose recipients ""received their second dose after a considerable gap."" only 0.8% received a second dose within 8 weeks of the first. 1/5"	8drlvdkp
"Here's the alternative to strict social distancing followed by vaccination. remember all those claims about low herd immunity thresholds? remember the claims about ""immunological dark matter""? all wrong, very wrong."	3kjckx8o
studying medication effects beyond randomized controlled trials: the stability-controlled quasi-experiment (scqe) applied to covid-19.	6buxpp8x
"""This is a significant study in real-time examining the disparities in diagnosed/suspected covid-19 between vapers, ex-vapers, and non-vapers..."" the study discovered diagnosed/suspected covid-19 is not linked to vaping status in the uk population..."	bjjfxfei
Intriguing finding in this study, which implies that dormant M. tuberculosis infection can aid host immune responses: in this instance, it was linked to decreased HIV viral load and lower susceptibility to opportunistic infections in individuals with HIV.	v3lcyzj5
Outcomes of COVID-19 vaccine the vaccine as a fire hose:  vaccine news seems very encouraging. UK began today, US isn’t far behind.  But vaccines will be much less effective at preventing death and illness if coronavirus is widespread—as in the US.	xigbp7vh
